2023-03-08 05:53:52.889Z | Internal            | Logger         | Started logging. Game version: 12.0.2, private beta: NO.
2023-03-08 05:53:58.778Z | Connection update   | Networking     | 76561198040779291@steam preauthenticated from endpoint 185.216.201.36:58769.
2023-03-08 05:53:58.916Z | Connection update   | Networking     | 76561198170133703@steam preauthenticated from endpoint 134.114.223.254:64128.
2023-03-08 05:53:59.237Z | Connection update   | Networking     | 76561198069178724@steam preauthenticated from endpoint 73.220.221.251:50062.
2023-03-08 05:53:59.511Z | Connection update   | Networking     | 76561198027561465@steam preauthenticated from endpoint 162.157.85.208:53062.
2023-03-08 05:53:59.913Z | Connection update   | Networking     | 76561198129048837@steam preauthenticated from endpoint 68.59.76.46:63180.
2023-03-08 05:54:00.163Z | Connection update   | Networking     | 76561198059487799@steam preauthenticated from endpoint 76.144.31.151:51605.
2023-03-08 05:54:00.346Z | Connection update   | Networking     | 76561198049007127@steam preauthenticated from endpoint 65.99.39.41:65073.
2023-03-08 05:54:10.066Z | Connection update   | Networking     | 76561198040779291@steam authenticated from endpoint 185.216.201.36:58769. Player ID assigned: 6. Auth token serial number: jFsMYB72XI81B12y
2023-03-08 05:54:10.099Z | Connection update   | Networking     | 76561198059487799@steam authenticated from endpoint 76.144.31.151:51605. Player ID assigned: 21. Auth token serial number: zvloCygs0LnpmBsC
2023-03-08 05:54:10.104Z | Connection update   | Networking     | 76561198027561465@steam authenticated from endpoint 162.157.85.208:53062. Player ID assigned: 3. Auth token serial number: D532BJ0DxBt2O8Kx
2023-03-08 05:54:10.137Z | Connection update   | Networking     | 76561198069178724@steam authenticated from endpoint 73.220.221.251:50062. Player ID assigned: 2. Auth token serial number: SmGZfbvxbbGzhOfg
2023-03-08 05:54:10.155Z | Connection update   | Networking     | Nickname of 76561198059487799@steam is now Cake_.
2023-03-08 05:54:10.158Z | Connection update   | Permissions    | Cake_ (76561198059487799@steam) has been assigned to group SERVER OWNER.
2023-03-08 05:54:10.165Z | Connection update   | Networking     | Nickname of 76561198027561465@steam is now Affle.
2023-03-08 05:54:10.174Z | Connection update   | Networking     | Nickname of 76561198040779291@steam is now [FERNO].
2023-03-08 05:54:10.174Z | Connection update   | Networking     | Player [connId=17] (CharacterClassManager)) connected from IP 185.216.201.36 sent Do Not Track signal.
2023-03-08 05:54:10.195Z | Connection update   | Networking     | 76561198170133703@steam authenticated from endpoint 134.114.223.254:64128. Player ID assigned: 4. Auth token serial number: W7rQEa5yhvVo2EKJ
2023-03-08 05:54:10.213Z | Connection update   | Networking     | 76561198129048837@steam authenticated from endpoint 68.59.76.46:63180. Player ID assigned: 22. Auth token serial number: 9zWqAJ2HvZOOG6Ti
2023-03-08 05:54:10.220Z | Connection update   | Networking     | Nickname of 76561198069178724@steam is now Cole.
2023-03-08 05:54:10.363Z | Connection update   | Networking     | 76561198049007127@steam authenticated from endpoint 65.99.39.41:65073. Player ID assigned: 7. Auth token serial number: oKvQVTQ/kJ8hEAuV
2023-03-08 05:54:10.373Z | Connection update   | Networking     | Nickname of 76561198170133703@steam is now SpectaKoo.
2023-03-08 05:54:10.402Z | Connection update   | Networking     | Nickname of 76561198129048837@steam is now Asmosnos.
