2023-03-08 08:34:48.718Z | Internal            | Logger         | Started logging. Game version: 12.0.2, private beta: NO.
2023-03-08 08:34:54.786Z | Connection update   | Networking     | 76561198040779291@steam preauthenticated from endpoint 185.216.201.36:52861.
2023-03-08 08:34:54.856Z | Connection update   | Networking     | 76561198170133703@steam preauthenticated from endpoint 134.114.223.254:55008.
2023-03-08 08:34:55.062Z | Connection update   | Networking     | 76561198027561465@steam preauthenticated from endpoint 162.157.85.208:59154.
2023-03-08 08:34:55.434Z | Connection update   | Networking     | 76561198069178724@steam preauthenticated from endpoint 73.220.221.251:63013.
2023-03-08 08:34:55.642Z | Connection update   | Networking     | 76561198057006321@steam preauthenticated from endpoint 73.66.121.218:59490.
2023-03-08 08:34:56.078Z | Connection update   | Networking     | 76561198129048837@steam preauthenticated from endpoint 68.59.76.46:55557.
2023-03-08 08:34:56.147Z | Connection update   | Networking     | 76561198059487799@steam preauthenticated from endpoint 76.144.31.151:59499.
2023-03-08 08:34:56.749Z | Connection update   | Networking     | 76561198049007127@steam preauthenticated from endpoint 65.99.39.41:58138.
2023-03-08 08:35:01.457Z | Connection update   | Networking     | 76561198069178724@steam authenticated from endpoint 73.220.221.251:63013. Player ID assigned: 1. Auth token serial number: yuODKMrkrXvvc9w2
2023-03-08 08:35:01.475Z | Connection update   | Networking     | 76561198027561465@steam authenticated from endpoint 162.157.85.208:59154. Player ID assigned: 25. Auth token serial number: YWg9QpfqxCRPmUQW
2023-03-08 08:35:01.526Z | Connection update   | Networking     | Nickname of 76561198027561465@steam is now Affle.
2023-03-08 08:35:01.547Z | Connection update   | Networking     | Nickname of 76561198069178724@steam is now Cole.
2023-03-08 08:35:01.623Z | Connection update   | Networking     | 76561198040779291@steam authenticated from endpoint 185.216.201.36:52861. Player ID assigned: 21. Auth token serial number: RSFJ8PMMdHpPnBdc
2023-03-08 08:35:01.736Z | Connection update   | Networking     | Nickname of 76561198040779291@steam is now [FERNO].
2023-03-08 08:35:01.736Z | Connection update   | Networking     | Player [connId=11] (CharacterClassManager)) connected from IP 185.216.201.36 sent Do Not Track signal.
2023-03-08 08:35:05.640Z | Connection update   | Networking     | 76561198170133703@steam authenticated from endpoint 134.114.223.254:55008. Player ID assigned: 11. Auth token serial number: Es87wZUbt00xG12i
2023-03-08 08:35:05.707Z | Connection update   | Networking     | Nickname of 76561198170133703@steam is now SpectaKoo.
2023-03-08 08:35:06.763Z | Connection update   | Networking     | 76561198129048837@steam authenticated from endpoint 68.59.76.46:55557. Player ID assigned: 3. Auth token serial number: Jz53YJzeDDQQP7sJ
2023-03-08 08:35:06.848Z | Connection update   | Networking     | 76561198059487799@steam authenticated from endpoint 76.144.31.151:59499. Player ID assigned: 24. Auth token serial number: rnNatG2IYC6zB1w7
2023-03-08 08:35:06.898Z | Connection update   | Networking     | Nickname of 76561198059487799@steam is now Cake_.
2023-03-08 08:35:06.900Z | Connection update   | Permissions    | Cake_ (76561198059487799@steam) has been assigned to group SERVER OWNER.
2023-03-08 08:35:06.905Z | Connection update   | Networking     | 76561198049007127@steam authenticated from endpoint 65.99.39.41:58138. Player ID assigned: 22. Auth token serial number: 9WZHWEcEf3tiIWzv
2023-03-08 08:35:06.922Z | Connection update   | Networking     | Nickname of 76561198129048837@steam is now Asmosnos.
2023-03-08 08:35:06.922Z | Connection update   | Networking     | Player [connId=12] (CharacterClassManager)) connected from IP 68.59.76.46 sent Do Not Track signal.
2023-03-08 08:35:06.929Z | Connection update   | Networking     | 76561198057006321@steam authenticated from endpoint 73.66.121.218:59490. Player ID assigned: 15. Auth token serial number: 3c3qWXdaG/5GFXQq
2023-03-08 08:35:06.984Z | Connection update   | Networking     | Nickname of 76561198057006321@steam is now Voidpuddle.
2023-03-08 08:35:06.984Z | Connection update   | Networking     | Player [connId=16] (CharacterClassManager)) connected from IP 73.66.121.218 sent Do Not Track signal.
2023-03-08 08:35:07.071Z | Connection update   | Networking     | Nickname of 76561198049007127@steam is now I AM STRANGLO.
2023-03-08 08:35:07.073Z | Connection update   | Permissions    | I AM STRANGLO (76561198049007127@steam) has been assigned to group ADMIN.
2023-03-08 08:35:47.259Z | Game Event          | Logger         | Round has been started.
2023-03-08 08:36:02.588Z | Remote Admin        | Class change   | Cake_ (76561198059487799@steam) changed role of player Asmosnos (76561198129048837@steam) to SCP-079.
2023-03-08 08:36:25.474Z | Remote Admin        | Class change   | Cake_ (76561198059487799@steam) changed role of player Cake_ (76561198059487799@steam) to SCP-096.
2023-03-08 08:37:59.470Z | Game Event          | Warhead        | SpectaKoo (76561198170133703@steam) set the Alpha Warhead status to True.
2023-03-08 08:39:20.644Z | Kill                | Class change   | Cole (76561198069178724@steam), playing as Facility Guard, has been killed by Cake_ (76561198059487799@steam) playing as: SCP-096. Specific death reason: Got slapped by SCP-096's left hand (Cake_)..
2023-03-08 08:39:42.795Z | Game Event          | Class change   | Player Cole (76561198069178724@steam) respawned as NtfCaptain.
2023-03-08 08:39:42.795Z | Game Event          | Class change   | RespawnManager has successfully spawned 1 players as NineTailedFox!
2023-03-08 08:41:41.293Z | Kill                | Class change   | Affle (76561198027561465@steam), playing as Class-D Personnel, has died. Specific death reason: Tesla..
2023-03-08 08:42:30.535Z | Kill                | Class change   | Voidpuddle (76561198057006321@steam), playing as Class-D Personnel, has been killed by Cake_ (76561198059487799@steam) playing as: SCP-096. Specific death reason: Got slapped by SCP-096's right hand (Cake_)..
2023-03-08 08:42:30.538Z | Kill                | Class change   | SpectaKoo (76561198170133703@steam), playing as Facility Guard, has been killed by Cake_ (76561198059487799@steam) playing as: SCP-096. Specific death reason: Got slapped by SCP-096's right hand (Cake_)..
2023-03-08 08:43:35.286Z | Game Event          | Class change   | Player Affle (76561198027561465@steam) respawned as NtfCaptain.
2023-03-08 08:43:35.289Z | Game Event          | Class change   | Player Voidpuddle (76561198057006321@steam) respawned as NtfSergeant.
2023-03-08 08:43:35.291Z | Game Event          | Class change   | Player SpectaKoo (76561198170133703@steam) respawned as NtfSergeant.
2023-03-08 08:43:35.291Z | Game Event          | Class change   | RespawnManager has successfully spawned 3 players as NineTailedFox!
2023-03-08 08:44:40.392Z | Game Event          | Warhead        | Countdown started.
