2023-03-08 02:40:11.342Z | Internal            | Logger         | Started logging. Game version: 12.0.2, private beta: NO.
2023-03-08 02:40:19.374Z | Connection update   | Networking     | 76561198059487799@steam preauthenticated from endpoint 76.144.31.151:61152.
2023-03-08 02:40:26.399Z | Connection update   | Networking     | 76561198059487799@steam authenticated from endpoint 76.144.31.151:61152. Player ID assigned: 7. Auth token serial number: DO6YegMTce3eEPdY
2023-03-08 02:40:26.447Z | Connection update   | Networking     | Nickname of 76561198059487799@steam is now Cake_.
2023-03-08 02:40:26.449Z | Connection update   | Permissions    | Cake_ (76561198059487799@steam) has been assigned to group SERVER OWNER.
2023-03-08 02:42:29.960Z | Kill                | Class change   | Cake_ (76561198059487799@steam), playing as None, has died. Specific death reason: Unknown cause of death..
2023-03-08 02:42:29.962Z | Connection update   | Networking     | Cake_ 76561198059487799@steam disconnected from IP address 76.144.31.151. Last class: Spectator (Spectator)
2023-03-08 02:45:52.887Z | Connection update   | Networking     | 76561198059487799@steam preauthenticated from endpoint 76.144.31.151:50809.
2023-03-08 02:46:08.415Z | Connection update   | Networking     | 76561198059487799@steam authenticated from endpoint 76.144.31.151:50809. Player ID assigned: 8. Auth token serial number: SyWkfC5XhAPwAvWk
2023-03-08 02:46:08.475Z | Connection update   | Networking     | Nickname of 76561198059487799@steam is now Cake_.
2023-03-08 02:46:08.477Z | Connection update   | Permissions    | Cake_ (76561198059487799@steam) has been assigned to group SERVER OWNER.
2023-03-08 02:48:30.917Z | Remote Admin        | Administrative | Cake_ (76561198059487799@steam) enabled lobby lock.
2023-03-08 02:52:28.065Z | Connection update   | Networking     | 76561198049007127@steam preauthenticated from endpoint 65.99.39.41:61126.
2023-03-08 02:52:41.499Z | Connection update   | Networking     | 76561198049007127@steam authenticated from endpoint 65.99.39.41:61126. Player ID assigned: 9. Auth token serial number: iFY8szdlp4ooprNb
2023-03-08 02:52:41.665Z | Connection update   | Networking     | Nickname of 76561198049007127@steam is now I AM STRANGLO.
2023-03-08 02:52:41.666Z | Connection update   | Permissions    | I AM STRANGLO (76561198049007127@steam) has been assigned to group ADMIN.
2023-03-08 02:54:01.229Z | Kill                | Class change   | I AM STRANGLO (76561198049007127@steam), playing as None, has died. Specific death reason: Unknown cause of death..
2023-03-08 02:54:01.230Z | Connection update   | Networking     | I AM STRANGLO 76561198049007127@steam disconnected from IP address 65.99.39.41. Last class: Spectator (Spectator)
2023-03-08 02:55:48.310Z | Connection update   | Networking     | 76561198049007127@steam preauthenticated from endpoint 65.99.39.41:55580.
2023-03-08 02:56:07.277Z | Connection update   | Networking     | 76561198049007127@steam authenticated from endpoint 65.99.39.41:55580. Player ID assigned: 10. Auth token serial number: t9bffre7F/5MLVnO
2023-03-08 02:56:07.427Z | Connection update   | Networking     | Nickname of 76561198049007127@steam is now I AM STRANGLO.
2023-03-08 02:56:07.429Z | Connection update   | Permissions    | I AM STRANGLO (76561198049007127@steam) has been assigned to group ADMIN.
2023-03-08 02:58:33.936Z | Connection update   | Networking     | 76561198211651404@steam preauthenticated from endpoint 162.250.131.76:12439.
2023-03-08 02:58:48.758Z | Connection update   | Networking     | 76561198211651404@steam authenticated from endpoint 162.250.131.76:12439. Player ID assigned: 11. Auth token serial number: BPmOvX/INQ5JRhAe
2023-03-08 02:58:48.841Z | Connection update   | Networking     | Nickname of 76561198211651404@steam is now Holo.
2023-03-08 03:01:13.169Z | Connection update   | Networking     | 76561198069178724@steam preauthenticated from endpoint 73.220.221.251:58964.
2023-03-08 03:01:24.879Z | Connection update   | Networking     | 76561198069178724@steam authenticated from endpoint 73.220.221.251:58964. Player ID assigned: 12. Auth token serial number: 6vBJKnZWfX5wK5lD
2023-03-08 03:01:24.944Z | Connection update   | Networking     | Nickname of 76561198069178724@steam is now Cole.
2023-03-08 03:07:37.141Z | Connection update   | Networking     | 76561199073038986@steam preauthenticated from endpoint 47.227.158.0:41625.
2023-03-08 03:08:25.515Z | Connection update   | Networking     | 76561199073038986@steam authenticated from endpoint 47.227.158.0:41625. Player ID assigned: 13. Auth token serial number: Y/ZSTlj5YB3A6jMi
2023-03-08 03:08:25.631Z | Connection update   | Networking     | Nickname of 76561199073038986@steam is now ripley.
2023-03-08 03:09:22.191Z | Connection update   | Networking     | 76561198059412587@steam preauthenticated from endpoint 174.80.111.156:56765.
2023-03-08 03:09:36.301Z | Connection update   | Networking     | 76561198059412587@steam authenticated from endpoint 174.80.111.156:56765. Player ID assigned: 14. Auth token serial number: k848J8YPvE6pBk4a
2023-03-08 03:09:36.427Z | Connection update   | Networking     | Nickname of 76561198059412587@steam is now Del Roo.
2023-03-08 03:09:53.814Z | Remote Admin        | Administrative | Cake_ (76561198059487799@steam) broadcast text "<color=red> Starting Soon, just waiting for one more ". Duration: 15 seconds. Broadcast Flag: Normal.
2023-03-08 03:13:24.847Z | Connection update   | Networking     | 76561198129048837@steam preauthenticated from endpoint 68.59.76.46:61534.
2023-03-08 03:13:44.291Z | Connection update   | Networking     | 76561198129048837@steam authenticated from endpoint 68.59.76.46:61534. Player ID assigned: 15. Auth token serial number: R9VGySPvvMdg1wEO
2023-03-08 03:13:44.431Z | Connection update   | Networking     | Nickname of 76561198129048837@steam is now Asmosnos.
2023-03-08 03:13:44.432Z | Connection update   | Networking     | Player [connId=8] (CharacterClassManager)) connected from IP 68.59.76.46 sent Do Not Track signal.
2023-03-08 03:13:56.439Z | Remote Admin        | Administrative | Cake_ (76561198059487799@steam) disabled lobby lock.
2023-03-08 03:14:37.567Z | Game Event          | Logger         | Round has been started.
2023-03-08 03:23:22.980Z | Connection update   | Networking     | 76561198027561465@steam preauthenticated from endpoint 162.157.85.208:50528.
2023-03-08 03:23:31.560Z | Kill                | Class change   | Cole (76561198069178724@steam), playing as Class-D Personnel, has been killed by Holo (76561198211651404@steam) playing as: Facility Guard. Specific death reason: Shot by Holo with GunFSP9 to the 'Body' hitbox..
