2023-03-08 06:39:59.626Z | Internal            | Logger         | Started logging. Game version: 12.0.2, private beta: NO.
2023-03-08 06:40:05.546Z | Connection update   | Networking     | 76561198040779291@steam preauthenticated from endpoint 185.216.201.36:56837.
2023-03-08 06:40:05.801Z | Connection update   | Networking     | 76561198069178724@steam preauthenticated from endpoint 73.220.221.251:59495.
2023-03-08 06:40:05.823Z | Connection update   | Networking     | 76561198057006321@steam preauthenticated from endpoint 73.66.121.218:56930.
2023-03-08 06:40:06.027Z | Connection update   | Networking     | 76561198027561465@steam preauthenticated from endpoint 162.157.85.208:50658.
2023-03-08 06:40:06.051Z | Connection update   | Networking     | 76561198170133703@steam preauthenticated from endpoint 134.114.223.254:54256.
2023-03-08 06:40:06.553Z | Connection update   | Networking     | 76561198059487799@steam preauthenticated from endpoint 76.144.31.151:57001.
2023-03-08 06:40:06.672Z | Connection update   | Networking     | 76561198129048837@steam preauthenticated from endpoint 68.59.76.46:59573.
2023-03-08 06:40:07.523Z | Connection update   | Networking     | 76561198049007127@steam preauthenticated from endpoint 65.99.39.41:63965.
2023-03-08 06:40:11.918Z | Connection update   | Networking     | 76561198027561465@steam authenticated from endpoint 162.157.85.208:50658. Player ID assigned: 4. Auth token serial number: PUYVAESGo4684ipt
2023-03-08 06:40:11.968Z | Connection update   | Networking     | 76561198040779291@steam authenticated from endpoint 185.216.201.36:56837. Player ID assigned: 21. Auth token serial number: gtSYskzPxzMzG/tZ
2023-03-08 06:40:11.973Z | Connection update   | Networking     | Nickname of 76561198027561465@steam is now Affle.
2023-03-08 06:40:12.078Z | Connection update   | Networking     | Nickname of 76561198040779291@steam is now [FERNO].
2023-03-08 06:40:12.078Z | Connection update   | Networking     | Player [connId=2] (CharacterClassManager)) connected from IP 185.216.201.36 sent Do Not Track signal.
2023-03-08 06:40:12.392Z | Connection update   | Networking     | 76561198069178724@steam authenticated from endpoint 73.220.221.251:59495. Player ID assigned: 22. Auth token serial number: XHqrswSUK/uEb1vm
2023-03-08 06:40:12.476Z | Connection update   | Networking     | Nickname of 76561198069178724@steam is now Cole.
2023-03-08 06:40:13.168Z | Connection update   | Networking     | 76561198170133703@steam authenticated from endpoint 134.114.223.254:54256. Player ID assigned: 7. Auth token serial number: lnE/BJrDeu8eXshC
2023-03-08 06:40:13.235Z | Connection update   | Networking     | Nickname of 76561198170133703@steam is now SpectaKoo.
2023-03-08 06:40:13.311Z | Connection update   | Networking     | 76561198057006321@steam authenticated from endpoint 73.66.121.218:56930. Player ID assigned: 6. Auth token serial number: 1UtbDfaq1zqpR0hD
2023-03-08 06:40:13.394Z | Connection update   | Networking     | Nickname of 76561198057006321@steam is now Voidpuddle.
2023-03-08 06:40:13.394Z | Connection update   | Networking     | Player [connId=14] (CharacterClassManager)) connected from IP 73.66.121.218 sent Do Not Track signal.
2023-03-08 06:40:14.549Z | Connection update   | Networking     | 76561198059487799@steam authenticated from endpoint 76.144.31.151:57001. Player ID assigned: 9. Auth token serial number: a14Plr6BXADGYx7r
2023-03-08 06:40:14.599Z | Connection update   | Networking     | Nickname of 76561198059487799@steam is now Cake_.
2023-03-08 06:40:14.601Z | Connection update   | Permissions    | Cake_ (76561198059487799@steam) has been assigned to group SERVER OWNER.
2023-03-08 06:40:15.537Z | Connection update   | Networking     | 76561198049007127@steam authenticated from endpoint 65.99.39.41:63965. Player ID assigned: 19. Auth token serial number: GAgWoUky5HuGbQRu
2023-03-08 06:40:15.704Z | Connection update   | Networking     | Nickname of 76561198049007127@steam is now I AM STRANGLO.
2023-03-08 06:40:15.705Z | Connection update   | Permissions    | I AM STRANGLO (76561198049007127@steam) has been assigned to group ADMIN.
2023-03-08 06:40:15.822Z | Connection update   | Networking     | 76561198129048837@steam authenticated from endpoint 68.59.76.46:59573. Player ID assigned: 14. Auth token serial number: hKkxP2tcFa8OdeSY
2023-03-08 06:40:15.942Z | Connection update   | Networking     | Nickname of 76561198129048837@steam is now Asmosnos.
2023-03-08 06:40:15.942Z | Connection update   | Networking     | Player [connId=5] (CharacterClassManager)) connected from IP 68.59.76.46 sent Do Not Track signal.
2023-03-08 06:40:32.198Z | Connection update   | Networking     | 76561198849112755@steam preauthenticated from endpoint 68.226.199.208:51428.
2023-03-08 06:40:57.372Z | Game Event          | Logger         | Round has been started.
2023-03-08 06:41:25.939Z | Connection update   | Networking     | 76561198849112755@steam authenticated from endpoint 68.226.199.208:51428. Player ID assigned: 18. Auth token serial number: KYJyAPnu9OuasVzq
2023-03-08 06:41:26.126Z | Connection update   | Networking     | Nickname of 76561198849112755@steam is now ZorroStep.
2023-03-08 06:42:03.954Z | Remote Admin        | Administrative | Cake_ (76561198059487799@steam) brought player ZorroStep (76561198849112755@steam).
