2023-03-08 03:55:53.908Z | Internal            | Logger         | Started logging. Game version: 12.0.2, private beta: NO.
2023-03-08 03:56:00.239Z | Connection update   | Networking     | 76561198211651404@steam preauthenticated from endpoint 162.250.131.76:12443.
2023-03-08 03:56:00.397Z | Connection update   | Networking     | 76561198069178724@steam preauthenticated from endpoint 73.220.221.251:56410.
2023-03-08 03:56:00.654Z | Connection update   | Networking     | 76561198059412587@steam preauthenticated from endpoint 174.80.111.156:55685.
2023-03-08 03:56:00.916Z | Connection update   | Networking     | 76561198059487799@steam preauthenticated from endpoint 76.144.31.151:55544.
2023-03-08 03:56:01.113Z | Connection update   | Networking     | 76561198027561465@steam preauthenticated from endpoint 162.157.85.208:62955.
2023-03-08 03:56:01.416Z | Connection update   | Networking     | 76561198129048837@steam preauthenticated from endpoint 68.59.76.46:57948.
2023-03-08 03:56:01.732Z | Connection update   | Networking     | 76561198049007127@steam preauthenticated from endpoint 65.99.39.41:60953.
2023-03-08 03:56:01.749Z | Connection update   | Networking     | 76561199073038986@steam preauthenticated from endpoint 47.227.158.0:38244.
2023-03-08 03:56:07.670Z | Connection update   | Networking     | 76561198027561465@steam authenticated from endpoint 162.157.85.208:62955. Player ID assigned: 9. Auth token serial number: FZf4Me8B9mJKzUY5
2023-03-08 03:56:07.714Z | Connection update   | Networking     | 76561198211651404@steam authenticated from endpoint 162.250.131.76:12443. Player ID assigned: 7. Auth token serial number: ekcgBihcZFnTVd7x
2023-03-08 03:56:07.725Z | Connection update   | Networking     | 76561198059412587@steam authenticated from endpoint 174.80.111.156:55685. Player ID assigned: 16. Auth token serial number: EAxacGkHX4lA8wSH
2023-03-08 03:56:07.744Z | Connection update   | Networking     | Nickname of 76561198027561465@steam is now Affle.
2023-03-08 03:56:07.762Z | Connection update   | Networking     | 76561198069178724@steam authenticated from endpoint 73.220.221.251:56410. Player ID assigned: 5. Auth token serial number: c8DvoQtzalJ6dwo6
2023-03-08 03:56:07.816Z | Connection update   | Networking     | Nickname of 76561198211651404@steam is now Holo.
2023-03-08 03:56:07.834Z | Connection update   | Networking     | Nickname of 76561198059412587@steam is now Del Roo.
2023-03-08 03:56:07.855Z | Connection update   | Networking     | Nickname of 76561198069178724@steam is now Cole.
2023-03-08 03:56:07.875Z | Connection update   | Networking     | 76561198849112755@steam preauthenticated from endpoint 68.226.199.208:49461.
2023-03-08 03:56:07.892Z | Connection update   | Networking     | 76561198059487799@steam authenticated from endpoint 76.144.31.151:55544. Player ID assigned: 6. Auth token serial number: wr3HIqyK30lxarDu
2023-03-08 03:56:07.937Z | Connection update   | Networking     | Nickname of 76561198059487799@steam is now Cake_.
2023-03-08 03:56:07.939Z | Connection update   | Permissions    | Cake_ (76561198059487799@steam) has been assigned to group SERVER OWNER.
2023-03-08 03:56:08.161Z | Connection update   | Networking     | 76561198049007127@steam authenticated from endpoint 65.99.39.41:60953. Player ID assigned: 11. Auth token serial number: dr3hOUQeT9XnNdPw
2023-03-08 03:56:08.328Z | Connection update   | Networking     | Nickname of 76561198049007127@steam is now I AM STRANGLO.
2023-03-08 03:56:08.330Z | Connection update   | Permissions    | I AM STRANGLO (76561198049007127@steam) has been assigned to group ADMIN.
2023-03-08 03:56:10.760Z | Connection update   | Networking     | 76561198129048837@steam authenticated from endpoint 68.59.76.46:57948. Player ID assigned: 17. Auth token serial number: wRy6/5PCkISFiDbw
2023-03-08 03:56:10.883Z | Connection update   | Networking     | Nickname of 76561198129048837@steam is now Asmosnos.
2023-03-08 03:56:10.883Z | Connection update   | Networking     | Player [connId=12] (CharacterClassManager)) connected from IP 68.59.76.46 sent Do Not Track signal.
2023-03-08 03:56:14.418Z | Connection update   | Networking     | 76561199073038986@steam authenticated from endpoint 47.227.158.0:38244. Player ID assigned: 8. Auth token serial number: ZeI8NMOKxvPtuhxT
2023-03-08 03:56:14.518Z | Connection update   | Networking     | Nickname of 76561199073038986@steam is now ripley.
