2023-03-08 06:54:20.399Z | Internal            | Logger         | Started logging. Game version: 12.0.2, private beta: NO.
2023-03-08 06:54:26.398Z | Connection update   | Networking     | 76561198040779291@steam preauthenticated from endpoint 185.216.201.36:58075.
2023-03-08 06:54:26.536Z | Connection update   | Networking     | 76561198027561465@steam preauthenticated from endpoint 162.157.85.208:56727.
2023-03-08 06:54:26.791Z | Connection update   | Networking     | 76561198170133703@steam preauthenticated from endpoint 134.114.223.254:65471.
2023-03-08 06:54:26.962Z | Connection update   | Networking     | 76561198057006321@steam preauthenticated from endpoint 73.66.121.218:50125.
2023-03-08 06:54:27.224Z | Connection update   | Networking     | 76561198069178724@steam preauthenticated from endpoint 73.220.221.251:53457.
2023-03-08 06:54:27.322Z | Connection update   | Networking     | 76561198059487799@steam preauthenticated from endpoint 76.144.31.151:54341.
2023-03-08 06:54:27.459Z | Connection update   | Networking     | 76561198129048837@steam preauthenticated from endpoint 68.59.76.46:49989.
2023-03-08 06:54:28.512Z | Connection update   | Networking     | 76561198049007127@steam preauthenticated from endpoint 65.99.39.41:60257.
2023-03-08 06:54:31.979Z | Connection update   | Networking     | 76561198027561465@steam authenticated from endpoint 162.157.85.208:56727. Player ID assigned: 23. Auth token serial number: c9uveUGLLmQCgkb/
2023-03-08 06:54:32.046Z | Connection update   | Networking     | Nickname of 76561198027561465@steam is now Affle.
2023-03-08 06:54:32.799Z | Connection update   | Networking     | 76561198040779291@steam authenticated from endpoint 185.216.201.36:58075. Player ID assigned: 11. Auth token serial number: AE4GBFyVrVzzv1gl
2023-03-08 06:54:32.899Z | Connection update   | Networking     | Nickname of 76561198040779291@steam is now [FERNO].
2023-03-08 06:54:32.899Z | Connection update   | Networking     | Player [connId=15] (CharacterClassManager)) connected from IP 185.216.201.36 sent Do Not Track signal.
2023-03-08 06:54:33.700Z | Connection update   | Networking     | 76561198069178724@steam authenticated from endpoint 73.220.221.251:53457. Player ID assigned: 20. Auth token serial number: VE2C9ODcerH085fv
2023-03-08 06:54:33.767Z | Connection update   | Networking     | Nickname of 76561198069178724@steam is now Cole.
2023-03-08 06:54:33.836Z | Connection update   | Networking     | 76561198170133703@steam authenticated from endpoint 134.114.223.254:65471. Player ID assigned: 25. Auth token serial number: Xf/iiKpJXOrtGTRu
2023-03-08 06:54:33.928Z | Connection update   | Networking     | Nickname of 76561198170133703@steam is now SpectaKoo.
2023-03-08 06:54:34.924Z | Connection update   | Networking     | 76561198057006321@steam authenticated from endpoint 73.66.121.218:50125. Player ID assigned: 16. Auth token serial number: B7hc49RkwHedR2yq
2023-03-08 06:54:34.975Z | Connection update   | Networking     | Nickname of 76561198057006321@steam is now Voidpuddle.
2023-03-08 06:54:34.975Z | Connection update   | Networking     | Player [connId=14] (CharacterClassManager)) connected from IP 73.66.121.218 sent Do Not Track signal.
2023-03-08 06:54:35.281Z | Connection update   | Networking     | 76561198059487799@steam authenticated from endpoint 76.144.31.151:54341. Player ID assigned: 15. Auth token serial number: JMd3Ine6/XyoH0U5
2023-03-08 06:54:35.331Z | Connection update   | Networking     | Nickname of 76561198059487799@steam is now Cake_.
2023-03-08 06:54:35.333Z | Connection update   | Permissions    | Cake_ (76561198059487799@steam) has been assigned to group SERVER OWNER.
2023-03-08 06:54:36.670Z | Connection update   | Networking     | 76561198049007127@steam authenticated from endpoint 65.99.39.41:60257. Player ID assigned: 12. Auth token serial number: CxOAaZdZZecsWouH
2023-03-08 06:54:36.837Z | Connection update   | Networking     | Nickname of 76561198049007127@steam is now I AM STRANGLO.
2023-03-08 06:54:36.839Z | Connection update   | Permissions    | I AM STRANGLO (76561198049007127@steam) has been assigned to group ADMIN.
