2023-03-08 08:07:09.362Z | Internal            | Logger         | Started logging. Game version: 12.0.2, private beta: NO.
2023-03-08 08:07:15.585Z | Connection update   | Networking     | 76561198170133703@steam preauthenticated from endpoint 134.114.223.254:57651.
2023-03-08 08:07:15.707Z | Connection update   | Networking     | 76561198040779291@steam preauthenticated from endpoint 185.216.201.36:56868.
2023-03-08 08:07:16.062Z | Connection update   | Networking     | 76561198027561465@steam preauthenticated from endpoint 162.157.85.208:63286.
2023-03-08 08:07:16.267Z | Connection update   | Networking     | 76561198069178724@steam preauthenticated from endpoint 73.220.221.251:65097.
2023-03-08 08:07:16.325Z | Connection update   | Networking     | 76561198057006321@steam preauthenticated from endpoint 73.66.121.218:59384.
2023-03-08 08:07:17.010Z | Connection update   | Networking     | 76561198059487799@steam preauthenticated from endpoint 76.144.31.151:60155.
2023-03-08 08:07:17.078Z | Connection update   | Networking     | 76561198049007127@steam preauthenticated from endpoint 65.99.39.41:57272.
2023-03-08 08:07:17.180Z | Connection update   | Networking     | 76561198129048837@steam preauthenticated from endpoint 68.59.76.46:52983.
2023-03-08 08:07:22.388Z | Connection update   | Networking     | 76561198040779291@steam authenticated from endpoint 185.216.201.36:56868. Player ID assigned: 5. Auth token serial number: M2wjBZe2He/3gYjc
2023-03-08 08:07:22.488Z | Connection update   | Networking     | Nickname of 76561198040779291@steam is now [FERNO].
2023-03-08 08:07:22.488Z | Connection update   | Networking     | Player [connId=1] (CharacterClassManager)) connected from IP 185.216.201.36 sent Do Not Track signal.
2023-03-08 08:07:22.542Z | Connection update   | Networking     | 76561198027561465@steam authenticated from endpoint 162.157.85.208:63286. Player ID assigned: 17. Auth token serial number: MmdvNwt5Qg381llS
2023-03-08 08:07:22.623Z | Connection update   | Networking     | Nickname of 76561198027561465@steam is now Affle.
2023-03-08 08:07:22.699Z | Connection update   | Networking     | 76561198170133703@steam authenticated from endpoint 134.114.223.254:57651. Player ID assigned: 8. Auth token serial number: jv/xQuijHIRATct0
2023-03-08 08:07:22.816Z | Connection update   | Networking     | Nickname of 76561198170133703@steam is now SpectaKoo.
2023-03-08 08:07:24.054Z | Connection update   | Networking     | 76561198057006321@steam authenticated from endpoint 73.66.121.218:59384. Player ID assigned: 2. Auth token serial number: xsRArrCVMmGPSROU
2023-03-08 08:07:24.121Z | Connection update   | Networking     | Nickname of 76561198057006321@steam is now Voidpuddle.
2023-03-08 08:07:24.121Z | Connection update   | Networking     | Player [connId=2] (CharacterClassManager)) connected from IP 73.66.121.218 sent Do Not Track signal.
2023-03-08 08:07:24.394Z | Connection update   | Networking     | 76561198069178724@steam authenticated from endpoint 73.220.221.251:65097. Player ID assigned: 4. Auth token serial number: 3gH3X9Ir/Cq2YspN
2023-03-08 08:07:24.477Z | Connection update   | Networking     | Nickname of 76561198069178724@steam is now Cole.
2023-03-08 08:07:25.267Z | Connection update   | Networking     | 76561198049007127@steam authenticated from endpoint 65.99.39.41:57272. Player ID assigned: 3. Auth token serial number: 1ezbVWmwp0QCq0Rk
2023-03-08 08:07:25.418Z | Connection update   | Networking     | Nickname of 76561198049007127@steam is now I AM STRANGLO.
2023-03-08 08:07:25.420Z | Connection update   | Permissions    | I AM STRANGLO (76561198049007127@steam) has been assigned to group ADMIN.
2023-03-08 08:07:26.373Z | Connection update   | Networking     | 76561198059487799@steam authenticated from endpoint 76.144.31.151:60155. Player ID assigned: 10. Auth token serial number: RqSJ5cfymGzBG7PE
2023-03-08 08:07:26.423Z | Connection update   | Networking     | Nickname of 76561198059487799@steam is now Cake_.
2023-03-08 08:07:26.425Z | Connection update   | Permissions    | Cake_ (76561198059487799@steam) has been assigned to group SERVER OWNER.
2023-03-08 08:07:26.946Z | Connection update   | Networking     | 76561198129048837@steam authenticated from endpoint 68.59.76.46:52983. Player ID assigned: 19. Auth token serial number: 4ZcUjklAS7sxzH/D
