2023-03-08 06:27:28.269Z | Internal            | Logger         | Started logging. Game version: 12.0.2, private beta: NO.
2023-03-08 06:27:34.290Z | Connection update   | Networking     | 76561198040779291@steam preauthenticated from endpoint 185.216.201.36:59701.
2023-03-08 06:27:34.695Z | Connection update   | Networking     | 76561198069178724@steam preauthenticated from endpoint 73.220.221.251:52553.
2023-03-08 06:27:34.706Z | Connection update   | Networking     | 76561198027561465@steam preauthenticated from endpoint 162.157.85.208:54845.
2023-03-08 06:27:34.961Z | Connection update   | Networking     | 76561198059487799@steam preauthenticated from endpoint 76.144.31.151:54179.
2023-03-08 06:27:35.270Z | Connection update   | Networking     | 76561198129048837@steam preauthenticated from endpoint 68.59.76.46:50465.
2023-03-08 06:27:35.889Z | Connection update   | Networking     | 76561198049007127@steam preauthenticated from endpoint 65.99.39.41:55968.
2023-03-08 06:27:39.876Z | Connection update   | Networking     | 76561198040779291@steam authenticated from endpoint 185.216.201.36:59701. Player ID assigned: 16. Auth token serial number: 4pogVmjhGKCaGlzi
2023-03-08 06:27:39.981Z | Connection update   | Networking     | Nickname of 76561198040779291@steam is now [FERNO].
2023-03-08 06:27:39.981Z | Connection update   | Networking     | Player [connId=5] (CharacterClassManager)) connected from IP 185.216.201.36 sent Do Not Track signal.
2023-03-08 06:27:40.412Z | Connection update   | Networking     | 76561198027561465@steam authenticated from endpoint 162.157.85.208:54845. Player ID assigned: 12. Auth token serial number: xn3xGE3QMD59OwJj
2023-03-08 06:27:40.462Z | Connection update   | Networking     | Nickname of 76561198027561465@steam is now Affle.
2023-03-08 06:27:41.067Z | Connection update   | Networking     | 76561198069178724@steam authenticated from endpoint 73.220.221.251:52553. Player ID assigned: 15. Auth token serial number: DbSyYCKuVisk5/4b
2023-03-08 06:27:41.185Z | Connection update   | Networking     | Nickname of 76561198069178724@steam is now Cole.
2023-03-08 06:27:42.610Z | Connection update   | Networking     | 76561198059487799@steam authenticated from endpoint 76.144.31.151:54179. Player ID assigned: 1. Auth token serial number: 44ubgxVoJaBAEUzD
2023-03-08 06:27:42.659Z | Connection update   | Networking     | Nickname of 76561198059487799@steam is now Cake_.
2023-03-08 06:27:42.662Z | Connection update   | Permissions    | Cake_ (76561198059487799@steam) has been assigned to group SERVER OWNER.
2023-03-08 06:27:43.449Z | Connection update   | Networking     | 76561198049007127@steam authenticated from endpoint 65.99.39.41:55968. Player ID assigned: 17. Auth token serial number: ljFLEzIMhWGrmDD2
