2023-03-08 07:37:28.481Z | Internal            | Logger         | Started logging. Game version: 12.0.2, private beta: NO.
2023-03-08 07:37:34.642Z | Connection update   | Networking     | 76561198040779291@steam preauthenticated from endpoint 185.216.201.36:60259.
2023-03-08 07:37:34.880Z | Connection update   | Networking     | 76561198057006321@steam preauthenticated from endpoint 73.66.121.218:58034.
2023-03-08 07:37:35.201Z | Connection update   | Networking     | 76561198170133703@steam preauthenticated from endpoint 134.114.223.254:52115.
2023-03-08 07:37:35.304Z | Connection update   | Networking     | 76561198027561465@steam preauthenticated from endpoint 162.157.85.208:52671.
2023-03-08 07:37:35.528Z | Connection update   | Networking     | 76561198069178724@steam preauthenticated from endpoint 73.220.221.251:61325.
2023-03-08 07:37:35.628Z | Connection update   | Networking     | 76561198049007127@steam preauthenticated from endpoint 65.99.39.41:54280.
2023-03-08 07:37:35.977Z | Connection update   | Networking     | 76561198059487799@steam preauthenticated from endpoint 76.144.31.151:51953.
2023-03-08 07:37:36.245Z | Connection update   | Networking     | 76561198129048837@steam preauthenticated from endpoint 68.59.76.46:64808.
2023-03-08 07:37:41.390Z | Connection update   | Networking     | 76561198040779291@steam authenticated from endpoint 185.216.201.36:60259. Player ID assigned: 14. Auth token serial number: 6najtNpZoxoz3UF9
2023-03-08 07:37:41.490Z | Connection update   | Networking     | Nickname of 76561198040779291@steam is now [FERNO].
2023-03-08 07:37:41.490Z | Connection update   | Networking     | Player [connId=12] (CharacterClassManager)) connected from IP 185.216.201.36 sent Do Not Track signal.
2023-03-08 07:37:41.740Z | Connection update   | Networking     | 76561198027561465@steam authenticated from endpoint 162.157.85.208:52671. Player ID assigned: 9. Auth token serial number: 0sI39bS9r/pW73sA
2023-03-08 07:37:41.806Z | Connection update   | Networking     | Nickname of 76561198027561465@steam is now Affle.
2023-03-08 07:37:42.096Z | Connection update   | Networking     | 76561198069178724@steam authenticated from endpoint 73.220.221.251:61325. Player ID assigned: 19. Auth token serial number: tVO45ELo55fVJjUk
2023-03-08 07:37:42.163Z | Connection update   | Networking     | Nickname of 76561198069178724@steam is now Cole.
